state,probability,volume
up,0.721304347826087,647.318
up,0.6856521739130436,670.424
up,0.6882608695652174,624.08
up,0.8280000000000001,1500.684
up,0.8424,482.749
up,0.8395999999999999,1753.701
up,0.6908695652173913,626.607
up,0.7034782608695652,490.319
up,0.6465217391304348,360.93
up,0.7308,0.0
up,0.7528,325.121
up,0.7112,956.672
up,0.7619999999999999,730.986
up,0.7804000000000001,748.893
up,0.7807999999999999,753.988
closed,0.7017391304347825,380.84
closed,0.7039130434782608,385.799
closed,0.717391304347826,380.308
closed,0.7444,231.32
closed,0.7308,226.519
closed,0.7160000000000001,231.525
closed,0.6804347826086957,372.899
closed,0.681304347826087,383.456
closed,0.6895652173913044,381.57
closed,0.721304347826087,396.075
closed,0.758695652173913,401.34
closed,0.7626086956521737,395.192
closed,0.6939130434782609,271.923
closed,0.6860869565217392,271.435
closed,0.6578260869565219,269.096
locked,0.7365217391304348,0.0
locked,0.7382608695652175,0.0
locked,0.7217391304347828,0.0
locked,0.7332,927.447
locked,0.7676000000000001,915.982
locked,0.7684000000000001,916.39
locked,0.6960000000000001,1036.112
locked,0.762,639.772
locked,0.7575999999999999,869.134
locked,0.7091304347826086,417.503
locked,0.7488000000000001,362.274
locked,0.7875999999999999,406.216
locked,0.7752,624.194
locked,0.8128,621.71
locked,0.8144000000000001,603.697
